iter	Logloss
0	0.661072076
1	0.6355370449
2	0.6099939514
3	0.5869861461
4	0.5605953687
5	0.5341931845
6	0.5142911848
7	0.4921648656
8	0.4754295274
9	0.458573821
10	0.4394505271
11	0.4239302484
12	0.4105644151
13	0.3934407094
14	0.3790111206
15	0.3684569058
16	0.3575184443
17	0.3463371859
18	0.3376371081
19	0.328637976
20	0.3206688271
21	0.3109798245
22	0.3027653703
23	0.2949019878
24	0.2875388308
25	0.2812794725
26	0.274459391
27	0.2682311176
28	0.2627770709
29	0.2560750883
30	0.2517988649
31	0.2462861421
32	0.2416398857
33	0.2365479591
34	0.2314958815
35	0.2268965212
36	0.2227381727
37	0.2188626642
38	0.2156046291
39	0.2121344191
40	0.2095746751
41	0.2072791829
42	0.2036013967
43	0.2004348546
44	0.1972426771
45	0.1951664665
46	0.1928756326
47	0.1906897737
48	0.189029507
49	0.1875626178
50	0.1859970541
51	0.1839171856
52	0.182157453
53	0.1803844773
54	0.178624476
55	0.1771272782
56	0.1761720064
57	0.1750168772
58	0.1737978612
59	0.1722848373
60	0.1711516558
61	0.1699368501
62	0.1689421174
63	0.1680825489
64	0.1670051172
65	0.1660170135
66	0.1651058309
67	0.1644289498
68	0.1634695273
69	0.1624482336
70	0.1616596886
71	0.1608276666
72	0.160035822
73	0.1593915637
74	0.1587763299
75	0.158130056
76	0.1575737671
77	0.1567216787
78	0.156086931
79	0.1553363539
80	0.1549468068
81	0.154231734
82	0.1535997484
83	0.153106137
84	0.1526861321
85	0.1521022073
86	0.1516671974
87	0.1512139427
88	0.1509891219
89	0.1504921512
90	0.1499136012
91	0.1497614762
92	0.1491211893
93	0.1486718762
94	0.1482615909
95	0.1478334042
96	0.1473459143
97	0.1470897996
98	0.1467691112
99	0.1464472284
100	0.1461255247
101	0.1457961469
102	0.1456883201
103	0.1455063493
104	0.1451188478
105	0.1448328724
106	0.1445217394
107	0.1440942395
108	0.1437609798
109	0.1434615223
110	0.1432704142
111	0.1428808074
112	0.142619915
113	0.1422043295
114	0.1420632976
115	0.1417280671
116	0.1414502586
117	0.14114998
118	0.1407375746
119	0.1405727737
120	0.1403121799
121	0.1400229497
122	0.1396913771
123	0.1393002325
124	0.1391526164
125	0.1389678537
126	0.1387080512
127	0.1384147151
128	0.1381735009
129	0.1379642972
130	0.1377044797
131	0.1374715219
132	0.1372559579
133	0.1370135343
134	0.1368111836
135	0.1366207772
136	0.136368186
137	0.1361738082
138	0.1359742943
139	0.1358344569
140	0.1356764642
141	0.1355033322
142	0.13532702
143	0.135079535
144	0.1349341286
145	0.1346282212
146	0.1344344107
147	0.1342285813
148	0.1341006583
149	0.1338696564
150	0.1336196332
151	0.1332740858
152	0.1331168248
153	0.1329447677
154	0.1327169161
155	0.1325131172
156	0.1322339948
157	0.1320515911
158	0.1319041541
159	0.1316396187
160	0.1314922116
161	0.1312840979
162	0.1311839901
163	0.130940163
164	0.1307802742
165	0.1305965864
166	0.1305404932
167	0.1304250519
168	0.1302520394
169	0.1300906426
170	0.1299823679
171	0.1298493686
172	0.1296929585
173	0.1295404602
174	0.1293980847
175	0.1293486504
176	0.1291543173
177	0.1289224643
178	0.1287934066
179	0.1287039292
180	0.1285418606
181	0.1283934532
182	0.1282854621
183	0.1281015654
184	0.1278565289
185	0.1277667678
186	0.127617166
187	0.1275573551
188	0.1274242662
189	0.1272301123
190	0.1270400344
191	0.1268908058
192	0.1267404276
193	0.1265070816
194	0.1264019572
195	0.12622781
196	0.1261189381
197	0.1259757563
198	0.1258535068
199	0.1257559222
200	0.1255944956
201	0.1255130656
202	0.1253726459
203	0.1252715676
204	0.1251864051
205	0.125075861
206	0.1249530964
207	0.1248231877
208	0.1246828053
209	0.124522588
210	0.1244027274
211	0.124313892
212	0.1242490272
213	0.1240915571
214	0.1240163381
215	0.1238732683
216	0.1237071013
217	0.1236094495
218	0.1235356639
219	0.1234666261
220	0.1234032842
221	0.1233420475
222	0.1232603711
223	0.1231281706
224	0.1230276298
225	0.1228737505
226	0.1227564802
227	0.1226915259
228	0.1225960763
229	0.1224495427
230	0.1223222766
231	0.1222516711
